place_1,place_2
1,18
5,17
1,18
17,2
4,14
6,6
9,17
2,6
8,9
17,2
17,15
2,13
1,1
2,1
8,13
17,17
7,7
4,8
8,8
5,5
6,5
7,7
17,17
1,1
13,6
13,13
1,1
17,2
13,13
7,7
6,9
3,1
2,2
4,7
14,14
6,6
10,12
1,1
5,5
2,2
3,4
17,17
7,7
14,14
18,4
7,16
6,6
2,6
9,13
8,8
1,2
2,2
6,15
17,17
2,17
2,7
5,5
17,17
6,6
9,6
2,2
2,2
7,15
17,8
17,14
13,16
3,3
4,4
7,7
13,13
13,17
10,10
18,18
13,5
4,9
13,5
2,17
6,1
17,6
17,17
6,6
6,6
1,1
9,10
17,1
2,2
12,11
13,10
19,17
1,1
17,17
8,8
17,17
1,2
5,6
1,1
12,11
13,13
2,2
14,16
17,13
17,17
6,17
11,15
6,6
17,18
10,10
5,5
1,7
19,19
9,9
2,9
3,3
8,8
5,13
7,6
11,7
14,14
5,1
13,15
13,12
2,2
1,1
13,13
17,17
14,18
14,14
8,7
4,4
17,6
3,2
3,9
14,3
6,6
12,12
1,16
13,2
17,17
8,9
13,10
14,7
13,13
5,13
5,5
1,1
1,1
6,7
4,4
1,2
1,7
13,16
5,5
18,18
14,16
14,14
13,17
1,2
6,6
14,16
14,15
2,1
2,2
2,2
1,1
7,7
5,5
2,2
7,7
5,5
6,16
6,18
6,6
14,14
2,2
14,14
5,5
7,17
19,7
13,6
1,6
17,17
4,11
2,2
11,11
1,1
5,15
5,7
4,3
17,13
17,5
2,2
17,1
14,14
10,5
13,13
8,15
2,2
2,16
2,2
5,5
10,12
2,9
17,17
17,17
5,5
13,15
2,2
4,4
1,15
6,6
2,2
2,1
5,5
6,6
7,14
6,5
17,17
18,18
5,13
17,17
2,2
10,4
2,2
8,4
19,19
18,18
1,2
4,13
5,8
6,7
2,2
2,5
8,8
10,10
8,11
1,1
1,2
5,6
4,13
17,13
1,17
17,17
9,9
2,6
17,17
5,13
18,18
13,13
14,18
9,9
1,1
5,5
13,7
6,6
10,11
2,2
8,7
10,10
4,4
11,11
6,13
8,6
17,17
5,13
2,1
8,15
9,9
1,1
17,17
14,14
2,2
8,8
6,6
2,2
1,5
17,17
17,14
8,8
9,9
5,5
14,18
6,14
18,6
2,1
13,13
17,5
13,16
14,16
8,7
4,1
9,9
18,16
1,12
2,2
6,5
7,1
6,6
5,5
1,1
17,1
17,17
7,6
4,7
11,8
13,13
11,3
4,5
13,16
6,6
13,9
7,17
5,7
8,9
7,8
18,18
14,15
5,6
1,17
2,6
2,2
18,7
17,17
1,15
9,9
14,7
8,8
13,13
6,6
3,3
17,17
5,13
14,14
6,6
5,5
9,13
7,7
18,18
5,5
13,13
1,1
13,13
4,3
7,15
17,17
7,15
8,8
3,6
10,10
9,9
6,6
1,1
7,7
7,15
6,13
1,2
17,4
18,10
6,6
18,15
6,16
2,10
5,9
13,13
8,8
8,13
8,15
7,7
3,7
9,7
4,7
3,3
10,10
2,9
19,1
7,5
17,17
1,1
19,19
17,17
8,14
17,5
8,8
17,17
7,7
7,7
6,6
14,5
2,2
8,8
14,14
7,3
2,2
6,13
2,2
4,10
4,4
2,2
7,14
13,14
9,9
3,4
2,2
8,5
13,13
18,16
2,5
2,2
3,6
17,10
18,4
18,18
5,6
17,7
2,2
17,4
1,15
2,2
2,2
8,16
1,1
1,2
5,2
7,6
4,11
9,12
13,6
13,13
17,17
13,13
17,17
17,17
1,16
2,17
13,1
2,2
6,6
13,5
17,17
8,8
14,14
9,13
10,10
2,2
5,5
7,7
8,8
3,4
4,7
2,2
18,14
17,17
19,19
6,7
1,1
2,2
14,10
5,10
11,11
8,2
4,4
7,7
5,13
19,19
17,5
2,1
13,13
6,5
4,4
1,1
19,14
1,11
1,5
6,6
12,1
18,18
9,9
8,8
5,17
6,13
12,13
18,3
12,13
7,7
6,17
18,18
1,2
14,14
1,1
17,17
17,17
11,12
13,13
13,13
13,17
4,17
17,1
18,18
13,2
13,13
17,2
9,7
3,12
14,5
6,13
6,15
17,17
14,7
6,6
7,14
9,9
18,5
14,14
5,5
9,9
1,1
19,19
4,6
6,6
10,10
5,17
8,8
13,13
5,4
8,8
1,7
6,6
13,13
4,4
14,14
3,3
4,4
18,16
5,5
8,4
2,15
5,9
14,14
2,2
5,5
4,12
9,6
2,15
3,1
13,13
2,7
13,13
6,6
6,18
5,5
5,2
9,9
2,2
17,16
5,5
7,7
17,6
6,13
19,1
1,1
5,6
10,12
8,14
3,3
19,19
11,7
3,1
17,17
6,2
11,3
17,17
8,8
8,13
6,6
14,14
5,2
5,5
3,14
10,3
3,3
1,1
13,9
2,18
5,9
8,1
1,17
17,17
13,7
7,3
1,6
1,1
6,6
4,17
18,18
3,3
13,1
17,17
2,2
9,15
17,17
1,1
13,14
14,2
17,6
5,11
13,13
19,17
2,2
13,7
5,5
7,13
5,3
8,8
13,3
2,11
9,16
17,2
10,7
10,11
7,2
2,17
8,8
1,1
4,4
9,9
1,1
17,17
5,5
17,17
9,1
9,1
13,17
9,9
7,13
7,2
7,14
13,13
8,10
9,9
10,10
14,14
7,7
17,8
1,1
3,3
5,16
7,7
9,9
9,2
4,2
9,17
3,3
17,17
2,2
19,19
2,1
8,15
1,1
2,2
17,15
7,7
2,13
2,2
1,4
14,16
13,1
2,5
14,14
7,9
17,14
2,2
2,2
14,13
8,8
1,16
1,1
1,1
7,16
19,19
14,15
14,14
13,13
1,1
9,9
9,14
2,8
9,2
17,9
9,6
17,17
13,13
13,13
17,15
7,13
17,17
7,9
4,11
2,1
10,10
9,9
1,1
19,5
1,1
19,19
2,2
1,1
4,4
5,5
7,15
17,17
1,1
1,1
13,1
13,13
13,15
6,16
1,1
1,1
11,1
17,17
8,17
7,7
12,16
17,17
9,2
4,16
6,15
10,10
17,3
14,9
1,1
12,12
9,8
5,17
3,6
18,18
14,14
8,16
5,11
2,2
12,12
14,14
18,18
9,6
4,4
17,17
5,6
4,1
7,10
17,17
4,7
3,3
17,14
10,10
13,13
4,18
8,5
17,7
13,13
2,7
4,4
2,2
19,19
14,7
9,9
14,14
2,16
2,2
5,10
4,4
4,17
17,18
7,2
6,6
14,7
1,1
4,8
18,8
2,2
6,6
2,2
5,10
2,16
1,1
17,4
8,17
9,17
13,13
19,19
17,17
6,6
14,14
2,2
1,2
17,17
14,14
11,12
9,9
1,1
2,9
7,7
18,18
2,7
17,16
1,1
4,4
13,13
18,14
18,13
3,3
17,17
17,14
1,1
4,4
4,4
18,5
2,2
14,14
4,4
6,1
17,17
9,9
1,1
2,2
8,8
10,10
14,1
1,1
8,15
14,14
11,4
4,3
2,2
8,15
13,13
4,4
18,4
8,7
5,7
19,7
18,18
11,12
10,13
13,2
5,11
13,8
7,6
5,9
5,5
9,9
17,13
19,19
17,17
2,2
4,3
11,11
17,17
2,2
1,1
13,12
1,5
1,2
8,8
9,8
18,18
13,4
4,4
9,17
12,15
5,5
9,7
3,14
9,15
10,10
7,7
14,11
18,18
3,18
14,2
14,18
11,13
8,17
11,11
11,11
5,5
7,1
4,4
14,14
13,13
2,17
17,17
2,19
10,2
13,2
14,14
8,16
11,3
17,13
17,17
14,14
2,17
1,1
4,16
13,2
13,13
12,15
8,8
8,9
2,2
17,17
1,3
17,17
9,9
1,7
18,17
4,1
7,11
8,5
3,4
7,7
12,12
5,5
1,1
5,7
13,13
6,6
9,3
4,4
14,16
17,17
12,12
2,7
1,2
6,6
8,13
4,4
3,3
6,1
6,2
17,17
14,5
14,6
6,6
6,6
9,11
7,8
3,10
13,13
17,17
13,13
9,17
17,17
4,4
17,8
13,17
17,4
6,9
8,7
6,6
19,17
12,12
3,3
3,3
2,2
1,17
6,6
1,1
17,5
9,9
6,1
1,2
2,12
7,7
8,8
1,1
3,13
14,7
7,5
14,14
18,18
8,16
14,14
14,2
6,6
10,10
3,1
17,17
10,16
10,10
18,18
12,12
3,1
10,10
13,13
18,18
14,14
3,6
9,11
6,6
2,1
7,7
