q2,q3,s1,s2,s3,q6,q8,q10,q12,p
9,5,2,100,100,19,9,14,5,1
3,13,1,100,100,13,13,3,9,5
1,15,99,100,100,8,2,8,9,1
4,1,1,14,100,18,7,3,1,17
10,2,1,16,100,14,13,13,3,4
3,1,1,100,100,14,13,10,5,6
4,9,100,100,21,14,11,1,7,9
1,5,100,100,100,1,1,13,5,2
1,6,1,100,21,17,2,7,10,8
8,6,1,16,100,1,10,1,7,17
4,1,6,100,100,13,7,3,9,17
8,12,7,100,100,11,13,13,9,2
4,9,7,15,100,19,9,13,5,1
2,4,100,15,100,19,13,10,5,2
4,1,6,100,100,1,10,1,4,8
10,12,100,15,100,1,9,1,3,17
8,5,3,100,100,15,11,13,7,7
4,1,7,100,100,8,1,7,10,4
10,6,99,100,100,14,9,1,5,8
4,9,100,14,100,1,13,13,5,5
10,12,99,100,100,17,9,13,5,6
1,19,99,100,100,1,10,13,6,7
8,6,99,100,100,15,16,12,2,17
6,3,100,13,100,17,13,1,3,1
6,3,6,100,100,17,11,7,6,13
4,19,3,100,100,13,9,1,6,13
3,19,100,100,100,16,12,1,10,1
1,19,1,100,23,11,17,12,2,17
8,6,1,100,100,13,9,8,5,13
1,6,100,12,21,13,13,13,10,7
4,6,99,100,100,19,13,1,5,6
1,9,99,100,100,9,9,6,7,3
1,6,1,100,100,19,9,1,3,2
2,12,99,100,100,16,6,14,9,4
4,9,6,13,100,15,2,1,6,14
9,13,2,100,100,1,11,1,6,6
1,10,1,100,100,12,16,13,4,10
1,10,1,100,100,4,11,3,5,1
2,5,1,100,100,17,13,13,11,5
3,6,2,100,100,19,9,14,3,2
1,8,99,100,100,11,3,1,1,3
3,3,3,100,100,1,13,8,4,17
4,9,100,100,23,1,13,10,6,7
4,6,3,100,100,17,6,9,3,14
1,6,99,100,100,6,10,9,5,18
1,10,1,100,100,15,11,13,5,7
4,12,1,13,100,17,9,6,10,6
4,6,7,100,100,19,4,1,5,2
1,6,1,100,21,19,13,3,10,9
8,6,99,100,100,7,4,3,10,8
4,12,7,100,100,1,4,13,4,1
1,15,100,100,23,15,13,6,3,2
4,9,99,100,100,3,15,13,3,6
1,9,2,100,100,13,4,5,10,17
10,2,2,13,23,19,9,13,6,2
4,12,100,100,23,17,10,13,5,2
1,4,1,100,100,17,13,1,3,5
2,6,4,100,100,17,16,1,7,17
8,6,100,11,100,1,9,8,5,6
6,10,1,13,100,15,4,7,10,9
10,9,7,100,100,13,13,3,5,2
4,9,100,100,21,3,13,8,5,2
2,6,1,100,100,13,10,7,10,7
4,19,99,100,100,3,4,10,9,17
8,15,99,100,100,1,13,1,12,17
9,2,1,100,100,17,9,1,5,13
4,1,7,100,100,7,6,1,2,3
1,19,1,100,23,15,13,13,12,4
4,3,100,13,100,15,8,13,4,7
4,5,100,13,100,6,11,8,5,13
2,3,99,100,100,1,9,13,4,13
4,1,100,11,100,13,5,3,6,10
8,19,2,13,100,1,9,1,11,18
4,1,1,100,100,17,9,13,5,13
1,11,1,100,100,13,11,6,11,4
1,6,2,100,100,13,13,5,11,13
4,2,6,100,100,15,9,13,5,2
1,5,99,100,100,6,13,1,3,6
4,3,100,100,21,4,9,13,6,17
2,5,1,100,100,17,13,1,3,17
4,9,100,12,100,15,10,13,5,6
1,3,7,13,100,17,10,14,6,6
8,1,100,100,100,18,6,13,3,1
2,10,99,100,100,15,13,1,6,9
4,6,100,13,100,13,4,13,5,17
3,15,100,100,100,19,10,5,9,2
1,5,7,100,100,9,2,7,8,12
4,12,4,12,100,14,11,1,7,13
1,6,2,100,100,13,5,13,3,19
1,18,99,100,100,8,6,10,4,1
3,9,2,100,22,4,9,13,13,17
4,9,100,11,21,17,10,10,5,8
4,6,99,100,100,6,16,8,3,17
1,2,99,100,100,13,4,13,5,1
8,20,1,100,100,13,4,3,10,5
4,1,1,100,100,7,6,2,1,1
2,5,99,100,100,4,15,2,4,12
9,8,1,100,100,17,9,6,5,13
1,6,6,100,100,8,4,7,6,2
10,20,99,100,100,17,2,7,6,14
3,12,2,100,100,14,13,1,4,17
1,15,99,100,100,17,1,8,7,17
4,10,100,11,100,17,9,13,6,6
1,3,100,12,100,17,10,8,6,11
4,1,6,100,100,16,9,14,3,6
4,12,100,13,100,8,3,3,5,17
4,1,100,11,100,1,11,13,7,10
1,3,99,100,100,1,10,3,7,5
4,9,100,100,23,17,9,2,5,1
4,12,7,13,100,1,13,11,4,19
1,17,100,16,100,6,4,7,10,9
3,5,2,100,100,1,11,13,5,2
1,13,100,100,22,14,13,10,9,3
2,4,100,13,100,6,4,3,5,8
4,3,2,100,21,19,10,6,10,5
4,5,99,100,100,6,10,13,3,7
1,6,99,100,100,1,7,6,4,11
4,1,100,14,100,14,13,6,10,14
1,4,7,100,100,6,4,13,3,5
9,6,100,16,100,8,10,2,3,13
10,6,1,16,100,13,9,13,3,13
2,5,1,100,100,17,9,13,13,2
10,3,99,100,100,13,6,3,5,1
8,5,1,100,100,17,13,1,6,13
3,9,99,100,100,6,15,10,3,17
4,19,7,100,100,17,9,13,4,14
3,6,100,11,100,10,13,3,5,14
1,6,1,100,23,13,9,8,3,8
4,10,3,100,100,4,13,13,11,4
4,19,100,11,100,1,13,13,5,17
1,6,6,100,100,4,11,13,5,3
6,12,99,100,100,4,12,13,7,3
4,12,100,13,100,1,13,1,5,14
5,2,1,13,100,15,5,13,6,6
4,19,2,100,100,3,1,6,7,12
4,12,3,13,100,3,7,1,5,1
1,15,1,100,100,6,8,4,7,13
2,5,6,100,100,19,9,8,3,17
2,17,6,100,22,13,13,9,9,8
4,6,6,100,100,15,11,2,3,13
3,12,100,13,100,14,13,7,5,14
1,17,100,100,23,6,13,2,11,13
4,5,100,100,21,8,13,13,5,5
2,3,100,13,23,4,9,1,5,5
10,20,99,100,100,20,8,15,13,1
4,5,100,100,100,17,9,8,4,1
10,3,99,100,100,15,13,13,11,6
1,6,7,100,100,13,10,13,10,4
2,3,3,11,100,19,9,13,5,1
4,9,2,100,100,19,9,1,5,1
3,5,1,100,100,17,8,6,5,13
2,5,1,100,100,1,9,13,4,5
3,15,7,100,100,12,1,3,7,18
1,15,1,14,100,13,9,1,4,14
2,5,1,100,100,17,13,13,4,14
4,19,100,100,23,1,6,1,4,13
3,12,1,100,100,15,5,8,3,1
8,6,100,100,21,2,11,14,3,6
2,6,100,13,100,13,4,13,5,14
3,12,99,100,100,15,9,13,5,14
2,8,3,13,100,17,13,1,4,2
3,6,3,100,100,19,15,3,5,2
4,6,100,16,100,13,14,7,10,2
2,3,1,100,100,19,5,13,12,1
4,19,100,100,22,2,19,13,10,7
4,3,99,100,100,15,9,1,6,5
3,3,1,100,100,14,5,8,11,2
1,3,7,13,100,17,8,13,11,7
4,10,4,100,100,17,10,1,4,5
6,3,2,100,100,19,10,13,4,6
2,5,100,11,100,1,8,13,5,6
1,6,1,100,23,15,13,10,7,6
10,3,5,100,100,15,14,1,6,14
1,6,1,100,100,6,6,10,3,2
1,6,1,100,100,19,6,10,6,14
4,1,2,100,100,3,15,1,7,5
4,1,4,100,100,1,13,14,10,7
1,4,5,100,100,6,4,13,5,19
1,5,8,100,100,7,13,2,10,13
6,9,100,14,100,18,9,9,7,1
7,13,99,100,100,19,1,2,9,17
3,5,99,100,100,14,15,3,5,4
6,15,100,100,22,5,10,4,7,2
7,15,100,100,100,13,8,9,12,11
2,9,100,11,100,4,11,11,3,1
4,9,6,16,100,1,11,13,3,5
10,9,1,16,100,17,9,13,10,5
1,9,1,100,100,10,2,6,10,4
10,12,100,100,21,1,4,13,10,17
4,5,100,11,100,15,6,13,3,17
1,15,1,100,100,17,8,8,11,2
4,9,100,16,100,4,9,14,4,17
3,6,100,13,100,6,2,2,3,14
1,1,1,100,100,15,11,1,6,10
2,6,6,100,100,17,13,2,5,13
3,12,2,100,23,12,1,3,9,8
1,14,100,100,100,19,13,1,6,2
1,4,1,100,100,14,9,1,12,2
5,5,1,100,100,19,9,1,7,2
2,1,100,100,23,3,11,1,4,5
1,18,100,100,100,4,5,5,1,10
10,12,1,16,100,4,11,13,6,2
8,12,1,100,100,18,7,10,9,17
1,6,1,100,100,13,9,3,1,17
9,6,100,12,100,1,13,8,12,5
1,15,100,100,100,5,13,5,8,13
10,16,7,100,100,11,10,14,5,2
2,5,99,100,100,17,1,2,6,4
4,9,2,100,100,19,9,13,5,1
9,9,2,100,100,17,12,1,12,6
8,9,99,100,100,4,11,10,5,2
1,3,1,100,100,17,13,1,6,2
3,15,3,100,100,14,6,13,5,5
2,8,99,100,100,15,9,13,5,6
4,15,6,100,100,4,8,15,5,7
4,8,3,100,23,19,12,13,10,6
6,6,2,100,100,18,13,10,5,17
10,17,7,100,100,13,16,10,1,18
1,4,99,100,100,9,1,7,10,5
4,6,100,100,21,15,6,8,5,17
1,6,1,100,100,6,4,2,3,2
3,7,99,100,100,10,4,1,8,10
9,15,1,100,100,10,12,7,11,2
7,6,1,100,100,6,4,1,10,8
10,3,1,100,100,14,6,13,5,19
3,12,6,100,100,16,16,11,4,18
4,1,100,15,100,4,4,13,10,1
8,3,2,100,100,14,15,12,2,4
1,4,99,100,100,1,5,13,10,5
4,5,6,100,100,19,5,13,6,6
4,1,1,100,100,17,9,14,7,2
1,18,100,12,100,13,16,13,10,2
10,6,7,100,100,18,17,3,10,8
3,6,1,13,100,19,11,7,10,10
1,6,100,100,23,13,4,7,10,8
4,19,100,13,100,17,13,13,5,1
3,1,100,100,100,8,5,5,10,1
1,15,1,100,100,15,12,1,10,5
4,12,3,100,100,15,2,6,12,4
4,3,1,12,100,14,4,6,10,17
2,6,100,15,100,6,4,13,5,1
4,9,2,100,100,4,4,3,5,17
1,6,1,100,100,13,4,6,10,9
4,9,99,100,100,17,13,13,5,2
9,6,99,100,100,6,17,13,6,17
4,3,5,100,100,17,4,13,6,5
3,4,99,100,100,13,2,7,3,18
3,12,100,12,100,17,13,13,5,13
6,8,99,100,100,19,16,11,4,14
1,6,100,11,100,13,5,1,5,9
1,8,99,100,100,19,5,13,5,1
4,15,3,100,100,1,4,13,5,5
9,2,1,100,100,14,9,1,5,13
1,14,99,100,100,18,7,9,11,6
1,9,100,100,100,15,3,4,11,10
2,18,100,100,23,17,8,8,6,2
3,12,100,12,100,1,13,13,5,8
6,4,100,100,100,8,8,14,6,10
4,12,99,100,100,17,9,14,9,4
1,6,100,15,100,15,9,7,5,11
9,6,2,100,100,15,9,10,5,6
4,1,1,16,100,11,16,9,11,8
3,12,1,100,100,13,4,9,12,17
1,6,99,100,100,6,1,1,4,5
4,2,100,15,100,15,9,7,13,2
10,9,2,16,100,1,10,13,6,8
8,5,99,100,100,17,9,2,5,9
4,2,99,100,100,2,9,1,7,1
3,10,1,100,100,19,7,11,12,17
4,9,99,100,100,19,5,1,5,14
1,6,99,100,100,13,6,10,3,2
4,9,1,100,100,14,2,5,7,8
10,19,1,100,100,17,9,14,6,6
1,13,7,100,100,16,5,13,9,2
1,17,7,100,100,8,1,7,8,1
1,11,1,100,100,14,2,7,10,17
3,12,7,100,100,20,7,13,1,17
8,6,99,100,100,13,14,7,6,8
8,9,1,15,100,17,13,1,5,9
4,17,100,100,21,13,10,13,5,5
4,6,100,13,100,13,13,6,5,14
1,18,100,13,100,13,11,1,10,6
3,6,1,100,100,15,13,5,3,18
3,1,100,13,100,19,2,5,4,2
1,6,99,100,100,4,11,13,5,13
1,6,2,100,100,4,11,1,5,17
9,6,1,100,23,13,4,13,5,13
4,10,100,100,23,1,6,2,5,14
4,6,2,100,100,17,16,1,6,8
6,6,99,100,100,13,9,7,5,4
1,5,1,100,100,1,8,13,7,9
4,19,1,100,100,15,10,13,6,18
2,4,7,100,100,13,10,13,10,1
3,1,100,14,100,1,10,7,4,2
4,9,100,13,100,6,4,13,10,6
4,19,100,100,100,1,9,13,3,7
6,5,1,100,100,4,10,13,10,6
4,3,2,13,100,4,11,1,3,5
8,3,1,100,100,17,4,8,5,1
10,12,100,16,100,17,9,13,5,17
6,18,99,100,100,18,7,9,2,17
3,1,1,100,100,13,13,13,3,7
1,4,6,100,100,13,2,1,12,4
10,6,1,100,100,15,10,7,10,11
4,19,5,100,100,13,11,1,4,13
1,1,100,12,100,14,18,8,7,11
4,1,100,12,100,6,13,6,6,4
1,5,1,13,21,17,9,13,5,13
4,3,99,100,100,15,13,1,5,6
4,9,3,100,100,19,9,13,5,13
3,20,9,100,100,1,9,14,6,7
1,2,100,12,100,1,13,5,1,5
4,19,100,13,100,11,18,3,5,8
1,1,100,13,100,8,5,13,2,7
4,6,1,16,100,14,11,13,5,18
6,6,100,13,100,6,9,13,5,14
4,9,3,100,100,1,13,1,4,5
9,11,99,100,100,1,9,1,9,1
1,12,1,13,100,1,9,13,6,2
4,1,100,100,100,3,11,2,5,2
1,18,100,11,100,13,13,1,7,18
1,6,2,100,100,13,1,1,10,17
10,3,99,100,100,15,11,8,3,1
2,14,99,100,100,13,16,9,2,9
3,15,100,14,100,13,11,13,7,14
1,6,1,100,100,15,16,3,7,8
1,8,3,100,100,13,9,13,12,13
8,2,100,13,100,1,4,14,3,6
4,12,7,13,100,3,13,1,5,3
2,20,100,100,21,13,19,8,13,17
3,10,3,100,100,19,9,13,6,5
1,19,7,100,100,6,4,5,10,14
4,3,100,13,100,4,10,1,3,6
2,12,1,100,100,17,13,5,10,5
8,6,99,100,100,13,14,6,10,9
3,12,5,100,100,17,13,13,10,7
2,9,100,16,100,1,6,13,5,18
4,19,1,100,100,14,11,2,10,5
6,1,1,100,100,15,4,9,5,13
3,2,3,100,100,19,4,4,9,1
1,4,1,13,100,13,4,1,5,13
3,12,100,13,23,17,5,9,7,4
2,5,99,100,100,4,13,13,13,7
3,12,1,14,100,4,13,6,10,17
1,4,6,100,100,13,11,13,5,7
2,5,1,100,100,8,4,5,10,8
2,5,100,12,100,17,9,13,3,3
4,18,1,100,100,4,4,1,1,10
2,1,1,100,100,6,17,1,5,9
1,12,1,100,100,19,13,13,5,6
2,11,99,100,100,15,13,13,11,1
3,9,100,100,21,17,13,7,10,7
1,6,8,100,100,13,13,13,6,7
6,9,99,100,100,15,5,1,6,6
4,10,1,100,100,14,11,13,10,1
5,9,99,100,100,11,4,9,10,17
2,5,2,100,100,15,13,13,3,18
10,2,100,12,21,17,9,13,6,6
10,6,1,100,100,6,16,13,3,18
2,2,99,100,100,19,5,2,5,6
4,3,5,100,100,17,8,13,4,2
1,5,99,100,100,13,4,1,10,5
3,4,7,100,100,6,15,11,4,13
1,6,1,13,100,6,4,7,6,8
5,14,5,100,100,3,1,1,5,8
4,1,1,100,100,18,4,1,7,8
4,9,100,12,100,4,6,8,7,7
4,2,100,100,23,17,13,8,3,3
2,1,1,100,100,8,1,6,10,9
2,5,1,100,100,7,6,8,11,4
1,6,1,100,23,17,10,13,11,3
2,3,99,100,100,17,9,1,10,10
6,5,2,100,100,17,13,8,3,2
1,6,100,15,100,13,4,1,4,19
6,5,6,100,100,4,13,13,6,7
4,5,1,100,100,14,9,5,5,17
1,1,2,100,100,17,18,7,12,1
2,11,100,100,21,3,18,8,5,19
4,19,100,100,100,8,7,8,3,17
3,12,5,11,100,1,10,14,5,8
3,12,6,100,100,19,6,1,2,17
1,2,1,100,100,14,11,1,3,8
4,9,2,100,100,19,11,14,7,17
10,5,99,100,100,15,11,13,3,7
1,6,3,100,100,4,13,13,3,7
6,6,1,100,100,15,10,14,10,6
1,4,99,100,100,6,1,4,12,14
6,5,1,14,100,19,11,1,11,2
1,6,3,100,100,13,12,2,3,8
3,8,3,15,100,15,5,4,12,14
1,6,1,100,100,17,11,8,3,7
3,15,1,100,100,18,9,1,4,2
7,8,99,100,100,15,8,14,6,6
4,3,99,100,100,15,12,13,6,2
8,11,2,100,100,4,2,2,6,4
4,5,1,100,100,13,2,6,12,4
1,3,6,100,100,2,8,9,10,2
1,16,100,100,23,1,11,13,10,7
6,17,2,100,100,9,2,2,10,13
2,3,2,12,100,15,2,7,10,9
1,10,100,15,100,10,6,6,4,3
6,5,7,100,23,1,13,13,5,2
1,5,1,100,100,13,4,2,10,8
9,10,1,100,100,17,13,10,5,13
2,8,1,11,100,18,13,13,5,18
6,9,1,13,100,14,6,13,4,2
4,9,7,100,100,15,13,13,5,2
1,6,100,100,23,15,11,1,9,3
1,9,1,16,100,12,17,11,9,17
2,6,6,100,100,1,14,13,4,18
4,9,1,100,100,18,9,4,5,18
8,9,99,100,100,11,4,9,5,5
5,3,100,12,100,9,18,6,3,17
5,13,5,100,100,17,11,11,5,2
3,20,100,16,100,13,6,3,5,17
4,9,2,100,100,3,7,13,7,1
3,3,3,100,100,3,10,13,6,2
4,3,100,13,100,15,5,2,6,2
4,1,100,100,21,8,1,1,5,8
6,17,99,100,100,2,9,1,3,1
2,9,99,100,100,17,7,9,7,1
10,5,1,100,100,6,11,7,6,5
4,19,99,100,100,20,11,5,4,7
6,3,6,100,100,17,3,13,11,4
1,4,100,12,100,7,2,2,10,9
9,18,100,15,100,7,2,13,10,13
2,6,1,100,100,1,13,2,5,13
9,2,100,100,21,17,9,3,5,17
4,6,3,13,100,1,4,13,5,13
10,18,1,16,100,13,1,3,7,17
3,11,99,100,100,3,7,9,9,17
1,1,100,12,100,18,3,3,5,1
6,14,1,100,100,3,13,13,5,2
2,5,7,100,100,13,9,7,3,13
4,5,1,100,100,4,6,13,2,2
4,9,2,100,100,14,13,13,4,6
2,6,1,13,100,17,10,7,5,13
2,12,100,13,100,17,15,9,5,17
8,12,1,100,100,19,9,6,8,8
6,18,1,100,100,6,16,13,3,14
10,15,100,100,23,4,13,13,5,9
4,9,2,100,100,1,4,13,10,10
1,19,99,100,100,6,18,5,12,2
1,18,7,100,100,17,17,14,1,5
4,19,3,100,100,15,13,14,5,7
2,3,2,100,100,4,12,1,4,8
4,5,2,100,100,4,9,13,4,3
1,6,1,13,23,19,9,6,12,4
2,14,1,100,100,17,9,14,9,2
1,4,1,13,100,13,4,13,12,18
1,6,1,100,100,19,17,9,3,17
4,1,3,12,100,3,15,1,5,19
4,13,1,100,100,13,12,12,6,6
4,5,1,100,23,15,9,11,4,1
4,15,1,100,100,1,4,7,6,2
1,6,1,100,100,15,14,8,8,14
4,1,100,16,100,13,13,13,5,5
2,17,99,100,100,16,1,1,5,11
1,4,99,100,100,13,16,6,3,8
6,5,1,13,100,13,1,6,8,4
3,6,99,100,100,14,4,2,2,7
6,15,100,100,21,17,4,8,7,5
4,8,1,100,100,1,9,1,3,19
1,6,1,13,100,6,16,15,5,17
1,6,99,100,100,17,5,9,1,2
4,12,100,13,100,1,4,1,9,13
4,3,99,100,100,15,10,13,6,6
4,3,3,13,100,15,9,13,3,4
4,12,100,13,100,15,13,1,3,1
10,3,2,100,100,17,8,13,3,19
4,2,100,15,100,13,13,6,10,1
1,4,1,13,100,13,4,5,10,1
4,5,4,100,100,2,11,13,6,6
9,16,99,100,100,10,9,2,9,12
3,18,99,100,100,9,15,5,6,18
6,5,1,100,100,17,13,14,11,9
1,6,100,11,100,6,2,1,5,8
10,6,100,100,23,15,11,13,2,5
4,6,2,100,100,15,11,13,6,6
1,6,100,13,21,17,4,13,10,12
1,5,7,100,100,17,13,13,4,18
2,4,100,13,100,7,2,6,8,12
4,1,99,100,100,1,5,10,6,7
2,5,1,100,100,19,9,13,11,6
4,1,2,13,100,13,4,15,13,18
5,9,1,100,100,3,10,13,4,1
4,1,7,100,23,11,4,8,11,14
1,12,1,100,100,17,12,14,5,1
10,6,1,100,100,15,16,8,3,17
1,12,1,100,100,19,6,8,11,17
3,11,1,100,100,14,17,4,12,11
4,5,1,13,100,19,8,13,5,13
8,9,100,12,100,15,11,8,3,13
1,6,99,100,100,16,9,1,3,13
1,6,99,100,100,13,1,1,6,4
9,3,100,16,100,17,9,2,3,17
6,6,99,100,100,6,16,1,6,18
1,6,100,13,100,13,13,14,6,13
9,6,100,12,100,6,19,14,6,13
4,6,1,16,100,6,12,13,5,17
