q2,q3,s1,s2,s3,q6,q8,q10,q12,p
1,6,1,13,100,13,13,14,10,9
1,18,99,100,100,8,11,8,3,3
8,6,100,13,100,17,11,1,5,14
2,6,100,12,100,6,9,14,6,6
4,3,100,13,100,17,13,13,5,6
4,12,100,16,100,17,18,14,3,17
10,12,2,11,100,15,10,5,5,14
1,6,3,100,100,17,4,14,6,6
2,15,6,100,100,13,4,13,6,7
10,5,6,13,100,6,16,13,3,9
1,4,7,15,100,6,13,5,4,18
9,4,3,100,100,15,16,3,2,14
8,6,100,100,23,13,8,1,3,5
1,6,99,100,100,17,11,1,5,9
4,5,1,100,100,15,9,1,6,1
2,5,99,100,100,6,8,13,4,19
10,12,99,100,100,19,4,14,5,4
4,19,100,13,100,1,13,8,3,6
2,3,1,100,100,6,13,13,5,10
3,12,100,100,100,1,6,11,4,5
9,18,100,100,21,11,6,6,7,8
4,19,99,100,100,15,13,1,5,13
9,5,7,100,100,17,13,13,7,5
5,19,99,100,100,1,13,1,5,8
3,1,7,100,100,11,13,13,3,1
10,3,1,100,100,15,9,13,9,6
1,6,6,13,100,6,9,1,11,13
3,12,100,13,100,17,9,13,3,4
3,12,99,100,100,14,13,2,3,14
4,19,99,100,100,4,3,1,8,3
2,6,1,100,23,1,6,8,7,4
6,5,3,100,100,1,11,1,3,18
1,17,7,100,100,7,1,5,10,5
3,12,2,13,100,19,13,13,10,8
4,3,100,13,22,1,13,13,7,2
1,6,3,100,100,4,11,1,5,5
6,6,1,100,100,1,9,13,4,14
4,19,100,100,100,19,12,1,9,2
1,3,99,100,100,15,5,1,3,5
1,15,1,100,22,18,2,6,7,4
1,6,100,11,100,6,17,12,10,9
3,6,99,100,100,1,12,13,5,2
4,6,6,100,100,11,7,3,11,3
9,6,2,100,100,13,13,1,3,13
1,6,6,100,100,13,11,13,6,2
1,4,99,100,100,3,7,10,2,13
8,9,1,100,23,6,13,13,3,6
1,17,99,100,100,13,8,8,3,6
4,16,4,100,100,13,9,6,2,5
10,5,100,100,21,17,16,10,3,5
1,19,99,100,100,1,1,7,3,9
1,12,1,100,23,15,10,14,10,2
4,19,2,100,21,3,7,9,7,17
5,6,1,100,23,8,1,14,6,5
8,19,99,100,100,17,4,13,10,7
1,6,99,100,100,13,13,1,3,17
3,13,9,100,100,15,11,14,6,6
6,9,100,13,100,1,13,14,6,19
5,4,3,100,100,4,7,9,11,1
9,5,99,100,100,17,13,8,3,5
4,6,6,100,100,7,5,1,3,10
9,6,100,13,100,15,11,10,10,8
9,4,1,100,100,17,4,14,11,3
4,19,7,100,23,17,9,13,5,19
8,13,1,14,100,16,2,3,8,11
2,11,100,13,100,13,14,5,9,3
4,6,100,11,100,6,17,9,1,17
2,3,2,100,100,15,19,13,6,6
3,2,7,100,100,18,7,12,11,11
1,4,100,13,100,8,4,7,10,17
1,6,2,13,100,6,17,13,6,8
9,4,5,100,100,17,4,7,9,8
2,4,100,100,100,12,14,5,1,6
1,6,6,100,100,15,11,1,5,14
1,6,99,100,100,6,5,13,3,5
3,13,1,100,100,13,4,10,3,5
4,8,1,100,100,19,1,14,12,3
1,17,99,100,100,17,7,7,1,10
1,3,1,100,100,19,6,14,5,3
2,6,4,100,100,2,7,3,11,1
3,9,1,100,100,4,13,4,1,13
10,5,1,100,100,19,13,13,9,2
2,5,100,16,100,6,4,13,5,5
1,6,99,100,100,4,13,1,6,8
4,9,1,100,100,3,10,13,4,1
4,9,100,16,100,1,9,2,5,17
1,6,100,14,100,13,4,6,5,13
2,3,1,100,100,4,11,13,6,7
1,4,100,15,100,1,13,8,6,1
4,9,100,11,100,17,4,15,11,1
3,19,99,100,100,3,13,14,6,6
1,6,100,100,100,6,4,7,6,4
4,9,99,100,100,14,9,1,7,18
6,3,100,11,100,15,8,13,11,3
1,6,1,100,100,13,4,3,10,13
4,6,100,13,100,1,11,6,5,17
4,9,99,100,100,1,13,1,5,2
1,2,1,100,100,15,17,1,2,9
4,15,99,100,100,17,9,1,7,17
1,19,100,100,23,5,13,13,11,1
4,6,7,100,100,4,13,6,6,13
1,2,99,100,100,19,9,2,5,14
8,3,3,100,100,15,13,13,5,17
2,5,7,100,100,6,15,12,5,5
4,5,100,13,100,19,12,8,5,13
2,4,99,100,100,19,9,2,3,19
1,6,6,100,100,13,5,10,9,2
1,8,1,100,100,6,4,1,5,13
1,6,3,100,100,19,13,1,10,5
1,6,6,100,100,13,10,14,10,7
2,19,2,16,100,17,4,3,6,5
1,6,100,13,100,17,13,13,5,8
3,5,99,100,100,15,11,2,5,13
2,5,99,100,100,4,11,13,5,2
4,5,1,100,100,1,15,1,5,9
1,6,1,100,100,13,16,13,3,17
6,8,1,100,100,15,13,2,12,10
4,9,7,16,100,3,7,13,10,10
4,1,99,100,100,19,4,8,4,7
1,6,100,11,100,15,11,14,3,2
1,6,1,13,100,17,4,1,10,8
4,15,7,13,100,13,4,13,5,1
2,6,1,100,100,1,11,10,11,4
3,13,100,100,21,1,4,1,10,9
4,9,1,100,100,14,15,8,9,1
1,6,100,16,100,6,4,13,9,17
3,6,100,100,23,17,5,3,12,5
4,3,1,100,100,17,4,13,3,17
2,6,99,100,100,13,1,6,7,9
6,14,1,100,21,1,2,7,10,9
2,6,99,100,100,6,16,15,6,13
4,10,100,100,100,15,6,1,5,9
1,6,99,100,100,6,10,13,7,7
4,6,99,100,100,17,13,8,11,7
4,1,7,13,100,1,3,8,5,7
2,4,2,100,100,19,10,1,10,13
4,9,1,100,100,15,9,1,10,8
4,2,100,13,100,15,14,2,5,9
1,13,99,100,100,6,13,3,12,10
1,3,2,12,100,17,9,1,5,14
1,6,7,13,100,17,10,13,3,7
1,3,6,100,100,11,4,1,5,17
1,2,100,100,21,5,7,12,4,1
3,9,100,100,22,19,5,10,1,3
10,9,100,15,100,17,8,13,4,5
3,16,100,100,22,1,13,10,3,7
1,5,9,100,100,13,9,12,10,9
3,12,100,14,100,1,4,7,5,9
4,11,2,100,23,14,15,1,9,4
4,2,100,11,100,13,13,3,2,9
10,2,100,16,100,19,9,14,5,3
9,6,1,15,100,1,12,8,5,17
1,6,100,13,100,6,9,13,3,2
10,5,100,13,100,15,9,13,6,19
5,9,6,100,100,1,17,13,9,2
2,17,100,16,100,7,2,7,10,8
2,9,1,15,100,19,9,8,11,1
2,18,100,13,100,14,11,4,5,2
1,6,8,100,100,13,1,13,5,17
4,1,7,100,100,19,13,2,7,7
4,6,2,100,100,19,11,1,5,2
1,6,99,100,100,6,13,13,5,2
3,9,100,14,100,17,4,13,3,1
4,1,2,100,100,17,5,3,2,14
2,9,2,100,100,6,10,11,3,13
3,12,100,100,23,1,13,10,9,2
3,19,3,100,100,3,13,3,7,14
9,6,100,13,100,13,4,13,5,7
4,1,1,16,100,19,9,3,6,17
6,5,99,100,100,13,4,14,10,2
4,2,99,100,100,6,3,14,12,2
4,2,2,100,100,1,8,13,3,14
1,6,100,13,100,6,12,5,2,8
4,10,6,100,100,17,13,13,3,1
2,4,100,14,100,6,9,8,5,1
4,9,100,14,100,14,13,5,6,1
2,5,100,11,100,15,12,14,10,7
6,3,7,13,23,15,8,13,3,19
6,2,5,100,100,4,11,7,3,14
1,2,5,100,100,4,13,13,3,14
3,6,4,100,100,13,13,1,5,13
3,12,100,12,100,19,9,13,10,1
1,5,100,11,100,6,10,7,6,9
3,19,99,100,100,11,15,9,9,9
1,15,100,100,23,6,9,13,5,2
1,5,3,100,100,1,4,13,10,9
1,6,1,100,100,17,13,3,6,17
2,5,3,100,100,6,16,7,10,9
4,2,1,100,100,4,9,7,6,17
9,4,100,100,21,15,6,13,3,13
3,12,3,100,100,18,12,2,11,13
2,10,1,16,100,1,9,13,9,17
5,2,100,100,23,15,13,2,11,7
10,19,99,100,100,5,1,6,10,17
4,5,6,11,100,19,11,13,3,7
3,6,100,100,23,17,13,14,6,4
4,9,100,15,100,15,4,13,3,2
1,6,1,100,100,13,5,13,6,10
2,17,99,100,100,13,19,1,11,9
6,19,99,100,100,3,9,7,2,1
3,12,100,15,100,4,4,13,5,19
4,1,100,14,100,17,9,13,5,1
3,1,100,13,100,13,4,13,5,19
4,5,100,13,100,1,15,7,4,2
2,4,3,100,100,17,13,8,8,1
3,15,99,100,100,15,3,3,5,4
3,1,99,100,100,14,13,5,6,5
6,3,3,13,100,13,12,13,6,7
5,9,99,100,100,14,16,15,13,17
1,18,99,100,100,5,13,5,12,1
1,4,100,100,23,5,10,4,6,1
4,9,3,15,100,15,13,1,5,13
1,1,6,100,100,15,9,1,3,13
1,19,100,13,100,13,12,12,10,13
1,19,99,100,100,17,9,1,10,6
6,9,2,100,100,19,11,10,4,1
3,14,1,100,100,17,9,13,3,1
3,16,100,100,100,13,14,8,7,11
10,6,99,100,100,2,7,9,1,17
4,9,1,13,100,4,1,7,9,8
2,4,99,100,100,15,4,1,8,7
3,10,2,100,100,6,17,1,3,12
10,2,6,100,100,1,16,8,5,17
1,19,3,100,100,17,10,13,9,9
2,6,100,13,100,6,10,6,7,4
8,19,1,100,100,17,13,13,9,6
4,6,1,100,100,13,10,13,6,10
4,9,99,100,100,11,4,4,3,17
6,6,100,15,100,17,16,13,7,14
10,9,6,15,100,17,11,13,4,1
2,3,1,100,100,13,13,3,4,12
4,5,7,13,100,4,16,3,3,9
9,1,1,100,100,13,9,1,3,5
4,3,6,100,100,17,13,13,13,3
4,1,7,100,100,13,6,13,9,18
1,6,1,100,100,19,16,7,5,14
1,5,1,100,100,8,4,8,3,8
1,1,99,100,100,17,1,6,10,5
4,5,100,12,23,4,11,13,6,2
2,9,1,100,100,17,9,4,5,12
9,6,7,100,100,17,1,3,4,14
3,9,99,100,100,1,9,8,11,18
1,11,99,100,100,4,9,8,3,9
1,11,100,15,100,19,11,13,10,4
3,5,99,100,100,13,13,3,10,17
1,15,1,100,23,17,10,7,5,5
3,3,1,100,100,19,11,1,5,4
6,3,100,11,22,19,12,13,4,7
4,3,99,100,100,13,4,13,6,17
6,5,99,100,100,15,2,6,3,4
1,4,7,15,100,2,12,6,3,3
8,6,1,100,100,6,8,2,3,17
2,3,1,100,100,13,13,8,3,10
9,4,6,100,100,13,4,13,12,13
2,5,1,100,100,4,2,6,10,4
2,6,1,13,100,4,12,1,5,8
1,9,2,100,100,17,1,1,10,17
1,9,99,100,100,7,7,3,1,13
4,19,1,13,100,17,12,13,5,2
10,2,100,100,23,3,5,1,7,4
1,15,2,100,100,13,10,2,4,2
10,10,1,100,21,18,4,13,6,19
1,9,1,100,100,17,9,13,4,14
2,9,99,100,100,6,17,4,3,9
6,5,1,100,100,19,10,6,4,14
6,14,7,100,100,1,4,8,11,2
1,6,1,100,100,6,13,1,6,2
1,6,1,100,100,17,4,13,5,5
4,3,99,100,100,15,12,1,10,4
1,6,1,100,100,19,9,1,12,4
1,6,100,13,100,13,4,3,10,17
3,9,4,100,100,12,9,9,10,7
4,5,6,100,22,13,13,13,6,6
4,6,99,100,100,17,11,13,5,14
3,3,2,100,100,13,3,12,9,1
4,6,100,100,23,6,2,6,5,4
2,6,99,100,100,6,16,14,6,18
10,6,6,100,100,15,11,15,3,2
1,12,3,100,100,1,11,14,10,6
1,12,99,100,100,1,19,13,5,2
2,5,6,100,100,13,10,13,6,5
7,12,1,100,100,5,9,9,7,2
1,10,6,100,100,16,5,8,11,1
1,18,4,100,100,6,17,3,10,17
4,1,1,100,100,3,9,8,5,8
9,17,100,13,100,18,14,3,10,9
4,19,1,100,100,18,9,9,4,13
9,6,100,16,100,17,9,3,3,19
9,6,7,13,100,17,16,1,3,17
10,6,2,100,100,15,11,13,3,6
1,2,100,13,100,6,9,10,3,14
1,18,99,100,100,14,16,14,3,2
1,15,7,100,100,15,6,7,4,1
10,18,99,100,100,6,4,8,7,17
1,4,99,100,100,13,8,1,6,14
9,12,100,13,100,6,13,13,5,11
9,6,100,100,100,17,3,6,7,9
1,18,100,13,100,17,5,9,6,1
3,6,1,100,100,17,18,5,1,2
2,1,7,100,100,4,4,9,2,7
2,6,99,100,100,13,10,13,10,18
4,15,99,100,100,17,12,1,3,2
6,8,6,100,100,4,16,1,3,17
5,11,7,100,100,7,6,3,12,1
2,17,99,100,100,13,1,7,10,4
1,9,6,100,100,4,1,6,3,13
6,3,1,100,100,15,13,7,6,18
1,5,6,100,100,17,16,7,11,18
5,12,100,100,100,14,12,6,12,3
4,5,1,100,100,17,13,1,3,17
9,17,1,16,100,8,16,3,4,17
4,4,99,100,100,13,7,6,6,1
2,15,100,100,23,14,8,10,8,4
10,1,7,100,100,13,1,7,10,4
2,5,6,100,100,6,9,14,5,18
6,11,1,100,100,6,4,13,8,2
1,6,100,100,100,4,6,11,2,14
10,8,2,100,100,15,13,7,11,4
4,19,7,100,100,1,11,13,5,6
4,5,1,100,100,15,9,1,3,17
2,2,2,100,100,19,13,7,10,9
1,6,100,100,100,18,2,5,2,1
1,3,1,100,100,4,8,8,10,2
1,12,1,100,100,13,4,9,8,8
4,5,1,100,100,4,13,1,4,10
8,18,99,100,100,1,2,3,6,14
3,14,99,100,100,3,3,12,5,1
5,12,7,100,100,18,6,2,11,8
1,6,100,100,100,13,10,2,12,14
1,17,100,13,100,15,8,7,7,11
3,12,100,100,22,11,11,1,3,4
1,6,99,100,100,17,3,1,8,2
8,6,3,100,100,6,1,7,10,8
1,5,99,100,100,13,13,5,10,13
8,3,1,100,23,17,13,13,5,4
8,6,7,100,100,17,8,1,6,18
1,18,1,13,100,13,1,1,1,8
4,6,100,100,23,1,13,13,5,5
6,5,7,100,23,13,13,13,1,19
10,20,99,100,100,17,13,14,6,18
4,3,99,100,100,15,9,13,10,11
9,4,99,100,100,6,10,2,5,10
4,10,6,100,100,15,4,7,10,13
1,5,100,13,100,13,13,1,8,5
1,5,1,13,100,6,17,12,2,13
1,4,99,100,100,13,10,13,5,7
6,17,99,100,100,7,1,6,7,5
3,5,99,100,100,6,5,1,10,5
10,6,6,100,100,19,13,6,12,9
1,6,1,16,100,6,17,3,3,17
4,6,7,100,100,13,4,5,1,19
1,4,99,100,100,2,13,4,11,17
2,6,1,100,100,1,9,13,6,2
10,12,1,100,100,19,5,13,5,4
3,10,99,100,100,17,16,13,3,11
1,6,7,100,100,6,7,9,1,17
2,4,99,100,100,3,18,1,1,2
2,7,7,100,100,1,17,13,1,1
9,10,99,100,100,17,13,3,10,13
3,15,100,13,100,16,15,14,6,1
1,6,100,100,100,18,11,3,2,1
3,12,2,100,100,14,6,8,10,8
8,15,1,13,100,18,16,3,11,9
5,9,100,14,100,6,13,6,3,18
1,6,100,100,100,6,4,6,4,13
4,1,1,100,100,17,4,1,6,4
1,6,3,16,100,6,1,6,10,9
5,9,99,100,100,11,15,13,7,12
9,19,99,100,100,17,9,8,3,5
6,10,1,100,100,13,1,7,4,9
4,6,99,100,100,19,11,13,11,3
6,18,1,100,100,18,4,6,10,9
6,6,99,100,100,17,14,12,12,10
1,6,1,100,100,19,9,14,6,7
6,9,1,100,100,4,9,13,6,14
2,10,99,100,100,4,9,11,4,18
4,3,6,100,100,4,9,13,5,3
4,2,6,12,100,19,11,12,3,14
1,6,99,100,100,4,13,13,3,14
1,17,100,15,100,16,12,1,11,11
1,9,7,100,100,19,13,14,12,8
2,6,99,100,100,6,5,13,12,11
7,16,99,100,100,6,10,13,7,11
3,12,100,100,23,1,13,8,5,5
2,19,100,100,22,11,12,5,9,7
1,3,100,100,23,15,5,7,3,4
3,12,99,100,100,4,9,1,5,14
9,12,99,100,100,13,15,14,2,13
2,1,99,100,100,13,5,13,10,2
3,3,100,100,100,14,6,9,3,17
6,16,99,100,100,18,2,8,5,2
10,8,100,100,21,17,11,1,10,10
1,11,1,100,100,13,15,7,7,13
4,5,1,100,100,15,9,8,3,14
2,15,99,100,100,3,9,13,10,8
4,1,99,100,100,19,14,13,4,11
4,1,1,100,100,16,9,2,12,17
4,19,2,100,100,17,9,13,3,17
9,4,7,100,100,17,4,13,10,14
1,5,6,100,23,19,13,8,10,2
2,9,7,100,100,6,16,15,3,1
10,15,1,100,100,1,13,13,5,4
5,19,99,100,100,13,10,2,12,13
1,6,2,100,100,4,17,1,11,13
2,9,99,100,100,1,17,13,4,12
2,4,99,100,100,6,6,5,7,8
5,9,100,13,100,5,15,9,10,8
3,6,100,11,100,14,9,8,2,2
4,6,7,100,100,3,16,3,6,17
6,5,1,100,100,19,10,13,3,1
4,12,7,100,100,1,4,3,5,17
2,3,2,13,100,19,4,6,5,9
4,5,1,100,100,1,11,13,3,1
1,6,100,100,21,1,16,8,5,18
3,4,99,100,100,4,14,2,5,4
6,19,99,100,100,11,5,8,4,7
1,17,2,100,100,14,16,1,10,8
1,3,5,100,100,17,9,1,3,3
6,19,100,100,100,4,14,14,10,7
2,1,99,100,100,19,15,1,8,12
1,5,100,13,100,17,9,10,12,5
7,9,7,100,100,4,18,1,8,1
1,2,7,13,100,17,9,1,6,5
9,9,99,100,100,18,9,7,6,13
4,3,1,100,100,1,11,13,5,6
8,6,6,12,100,10,13,1,3,9
2,6,99,100,100,1,10,13,3,4
1,9,2,100,100,3,3,13,11,14
1,5,1,11,100,4,11,13,11,17
1,13,99,100,100,11,16,7,12,12
2,20,100,100,23,19,19,7,5,2
3,5,7,100,100,17,10,9,8,1
1,6,99,100,100,13,10,2,3,6
1,12,100,13,100,10,2,6,10,8
2,5,1,100,100,15,13,14,2,4
3,3,7,100,100,9,5,14,3,3
8,6,7,100,23,17,9,13,5,6
3,6,99,100,100,10,4,4,10,6
10,12,2,100,100,1,4,8,5,17
6,9,6,100,100,17,9,8,3,14
4,14,99,100,100,3,2,5,8,14
1,5,1,100,100,19,11,13,3,6
3,4,100,100,23,13,13,2,2,6
2,9,6,100,100,13,13,6,3,9
8,3,1,100,100,15,11,14,12,7
3,8,99,100,100,3,9,10,10,3
1,5,99,100,100,4,12,10,4,13
1,17,2,100,21,19,13,1,6,17
9,6,1,100,100,6,5,13,5,13
1,1,1,100,100,4,11,7,10,9
1,6,2,100,100,17,7,13,5,17
1,4,100,13,23,13,1,6,7,4
4,6,100,11,100,3,5,1,5,17
10,17,7,100,100,15,8,10,11,13
7,14,1,13,100,4,11,1,3,17
10,9,7,100,100,19,12,13,3,6
4,1,100,100,23,17,11,12,6,8
4,9,3,100,100,19,9,13,3,6
1,4,1,100,100,19,9,1,6,19
2,5,1,100,100,4,2,1,8,12
8,19,3,100,100,15,10,13,7,3
4,2,1,100,23,4,1,6,10,3
3,6,3,100,100,13,4,1,12,2
4,15,5,100,100,15,9,1,3,1
1,6,1,13,100,1,13,14,6,6
4,12,7,100,100,4,14,12,11,1
4,1,6,100,100,1,19,15,13,17
1,6,3,100,100,13,4,9,7,9
10,3,100,100,23,15,13,5,4,6
9,14,99,100,100,14,9,5,2,1
1,5,99,100,100,19,14,7,9,2
4,1,100,13,100,15,4,14,6,7
1,6,2,100,21,6,16,3,6,8
4,1,99,100,100,4,16,3,12,1
1,6,100,13,100,9,2,7,6,3
5,9,100,13,100,18,11,11,5,14
1,17,7,13,100,8,9,4,6,7
4,6,100,15,100,1,4,8,3,14
1,4,99,100,100,1,12,7,3,18
1,6,1,100,22,13,4,7,10,8
9,6,100,13,100,17,9,1,5,14
1,5,100,12,100,15,11,13,5,14
4,1,100,13,100,15,9,13,5,6
1,6,5,100,100,19,4,13,3,10
1,6,7,100,100,13,9,6,5,3
4,10,100,11,100,15,7,9,12,17
8,6,99,100,100,7,13,8,9,10
9,6,1,100,100,15,13,1,10,10
1,6,99,100,100,15,10,11,3,18
2,5,2,100,100,17,2,13,11,12
4,6,100,100,23,17,13,13,6,3
4,9,2,100,100,1,11,2,8,10
2,5,99,100,100,13,4,13,11,13
4,2,1,100,100,6,16,11,5,18
1,10,99,100,100,15,11,14,10,14
1,6,9,100,100,17,4,5,7,3
3,12,100,100,23,9,12,3,10,9
1,3,100,100,23,15,10,13,10,6
4,3,1,100,100,17,13,13,10,2
4,6,100,13,100,1,4,13,4,7
